0	0	0	0	0	0	0	0	0	0
0	-1.04123792915815887e-08	-5.51014060191774938e-05	0	0	4.25361562138522888e-09	-5.51604691856399386e-05	0	0	0.314159265359000017
0	-1.50614137664875198e-07	-0.000208657192902076641	0	0	-1.25913682398222544e-07	-0.000209019335970928337	0	0	0.628318530718000146
0	-2.29902215993965637e-07	-0.000312550782488763273	0	0	-2.04164733729084363e-07	-0.000313162459976538271	0	0	0.942477796076999663
0	-2.75821144333860324e-07	-0.00023651660257848148	0	0	-2.58344481171064416e-07	-0.000237001343179147022	0	0	1.25663706143599985
0	-2.99645403098359438e-07	-0.000158002777858304972	0	0	-3.01944307764463509e-07	-0.000158385857307566174	0	0	1.57079632679500047
0	-2.49359340607471481e-07	-0.000307857807110544553	0	0	-2.82399653803136417e-07	-0.000308733648622430234	0	0	1.88495559215400066
0	-1.56912119272538837e-07	-0.000432564834641285692	0	0	-2.32583385886730476e-07	-0.00043387540154498505	0	0	2.19911485751299995
0	7.85281185600249963e-08	-0.000370270683735900597	0	0	-4.38842858665612382e-08	-0.000371549253929649378	0	0	2.51327412287200058
0	3.83106885786068516e-07	-0.000274776791700536576	0	0	2.13237018611955845e-07	-0.000275956968724941408	0	0	2.82743338823099988
0	7.31065495593966566e-07	-0.000261569953834558716	0	0	5.18624283589149948e-07	-0.000262854728112729913	0	0	3.14159265359000095
0	1.03444766810050608e-06	-0.000288737842725405528	0	0	7.89905114536815145e-07	-0.000290151947632067916	0	0	3.45575191894900069
0	1.18719438832648569e-06	-0.000336612452794354388	0	0	9.26017190725462968e-07	-0.000338086822557936886	0	0	3.76991118430799999
0	1.04375594521271605e-06	-0.000350952151113426646	0	0	7.85217879144038662e-07	-0.000352325236983939483	0	0	4.08407044966699839
0	5.63365976806582157e-07	-0.000354939867403536392	0	0	3.29247197593179936e-07	-0.000356102785506246596	0	0	4.39822971502599813
0	5.00490201696359912e-07	-0.000358024175358149632	0	0	3.14522038565340621e-07	-0.000358905876876407009	0	0	4.7123889803849961
0	1.3019792308018984e-06	-0.000350646395517623078	0	0	1.18591287974665083e-06	-0.000351187597243699196	0	0	5.02654824574399584
0	2.61530459410027146e-06	-0.000347716713000738396	0	0	2.58493044720448183e-06	-0.000347888312872397722	0	0	5.34070751110299646
0	3.80765661674494234e-06	-0.000348733632930714943	0	0	3.87355436257764503e-06	-0.000348533160594900542	0	0	5.65486677646199709
0	5.00867844261533761e-06	-0.000360075668345984903	0	0	5.1770555930466674e-06	-0.000359541088928393301	0	0	5.96902604182099861
0	5.7395702074904686e-06	-0.000352551586033543354	0	0	6.00762819678099581e-06	-0.000351749232720723168	0	0	6.28318530717999923
0	5.29568322563429427e-06	-0.000339902396868983097	0	0	5.64933159823294244e-06	-0.000338913262638821592	0	0	6.59734457253899986
0	4.15072714308853847e-06	-0.000313030245142729632	0	0	4.57023202083143356e-06	-0.00031193130468809495	0	0	6.91150383789800049
0	2.89555815469638633e-06	-0.000281720566089698507	0	0	3.35244832293488385e-06	-0.000280574959521427279	0	0	7.22566310325700023
0	1.8758975160204478e-06	-0.000259477088393662814	0	0	2.31687138148378038e-06	-0.000258365560843860649	0	0	7.53982236861599908
0	1.45246935322323169e-06	-0.000251816443315054455	0	0	1.86341874921043174e-06	-0.000250896871785786645	0	0	7.85398163397499882
0	1.67212882313969998e-06	-0.000250428662755970948	0	0	2.0226609630847686e-06	-0.000249837136071509895	0	0	8.16814089933400211
0	2.06858650920720338e-06	-0.000258090468205896841	0	0	2.33435456749716777e-06	-0.0002579651475282834	0	0	8.48230016469300274
0	2.78445531983797562e-06	-0.000270059887512632082	0	0	2.94691803605695396e-06	-0.000270485657125218114	0	0	8.79645943005199804
0	3.55155784955134592e-06	-0.000311096873848505564	0	0	3.59754869768848978e-06	-0.000312230605484348732	0	0	9.11061869541099512
0	4.29312582984577089e-06	-0.000383627158674560516	0	0	4.21832318769552952e-06	-0.000385586267684133368	0	0	9.42477796076999397
0	5.01566683860399578e-06	-0.00041380942259481798	0	0	4.82431755309777826e-06	-0.000416287243686085519	0	0	9.73893722612899282
0	5.57218563077053947e-06	-0.000383234403952039608	0	0	5.27555957004313391e-06	-0.000385880276344370196	0	0	10.0530964914879881
0	5.8128940774660573e-06	-0.000355593874522143201	0	0	5.42992612517870288e-06	-0.000358376192762830477	0	0	10.3672557568469852
0	5.72180726469766641e-06	-0.000322384626304226087	0	0	5.27894050548560002e-06	-0.000325113899475950566	0	0	10.681415022205984
0	5.30813047106301432e-06	-0.000290396633879069787	0	0	4.81548650829520842e-06	-0.000292925368111117087	0	0	10.9955742875649829
0	4.63419803366040829e-06	-0.00022876295896987118	0	0	4.14826924162414329e-06	-0.000231035499121490028	0	0	11.3097335529239853
0	3.78816647395002563e-06	-0.000151877339049642416	0	0	3.34456049621754345e-06	-0.000153839436493007715	0	0	11.6238928182829859
0	2.88089000827966613e-06	-0.000118013395647193037	0	0	2.51241484880792495e-06	-0.000119623150209981839	0	0	11.9380520836419919
0	2.03166518499424715e-06	-0.000156889807127688803	0	0	1.76468475040508628e-06	-0.000158044130941073908	0	0	12.2522113490009872
0	1.38347415742213468e-06	-0.000220797088120160129	0	0	1.23516588434634644e-06	-0.000221363946565145982	0	0	12.5663706143599896
0	1.00932057378481054e-06	-0.000217009865734864543	0	0	9.86323356871006525e-07	-0.000217019729946641045	0	0	12.8805298797189884
